Dia;Bahia;Ceará;Distrito Federal;Minas Gerais;Paraná;Rio de Janeiro;Rio Grande do Sul;São Paulo;Santa Catarina;Amazonas;Pernambuco;Espírito Santo;Goiás;Rio Grande do Norte;Centro-Oeste;Nordeste;Norte;Sudeste;Sul;
0;1;5;1;1;6;1;1;1;2;1;2;1;3;1;1;1;1;1;1;
1;2;9;1;1;6;1;2;1;4;1;2;1;3;1;1;2;1;1;2;
2;2;24;1;1;6;2;4;1;6;1;2;1;3;1;1;3;1;1;10;
3;2;68;2;1;6;3;4;2;7;1;2;1;3;1;2;3;1;2;12;
4;2;84;2;2;6;8;6;2;7;3;2;1;6;1;2;3;8;2;16;
5;2;125;2;2;6;13;6;2;10;7;16;1;8;1;5;5;19;2;18;
6;2;185;6;2;13;16;6;2;21;11;16;1;15;1;9;6;32;2;19;
7;2;200;8;5;23;16;10;3;40;26;28;1;18;6;11;6;49;3;23;
8;2;235;13;7;36;22;19;6;51;32;31;1;18;6;18;7;86;7;42;
9;2;282;22;15;43;24;31;10;57;47;28;1;21;9;32;7;86;12;75;
10;3;314;26;29;54;31;43;13;108;54;37;1;23;13;41;30;105;16;119;
11;3;348;84;38;70;33;61;16;109;67;42;9;27;14;108;35;126;21;155;
12;30;372;87;55;81;45;72;19;122;81;42;13;29;14;118;97;145;29;183;
13;33;390;108;83;102;66;112;30;149;111;46;16;39;19;144;157;184;45;290;
14;41;444;117;130;119;119;123;42;184;140;48;26;49;28;161;183;227;60;290;
15;49;550;161;133;133;119;168;56;194;151;56;26;56;45;219;246;254;75;313;
16;76;627;161;153;148;186;195;65;197;175;68;29;58;68;219;356;294;90;392;
17;84;;200;189;155;233;197;136;219;200;73;40;61;77;221;356;337;163;463;
18;104;;230;205;179;305;226;152;235;229;78;40;65;82;275;390;377;189;514;
19;115;;260;241;220;370;241;164;247;260;87;40;71;105;318;457;427;205;568;
20;128;;289;261;252;421;274;240;281;;95;47;73;176;360;539;;309;593;
21;154;;312;275;301;493;306;286;;;106;53;88;;399;624;;394;672;
22;176;;332;314;;558;334;345;;;136;60;;;435;720;;518;765;
23;213;;355;370;;600;396;459;;;;72;;;470;774;;659;833;
24;246;;370;397;;657;;631;;;;84;;;504;875;;926;978;
25;267;;402;;;708;;745;;;;96;;;532;1007;;1278;;
26;282;;;;;832;;810;;;;120;;;594;1180;;1285;;
27;;;;;;992;;862;;;;139;;;;1399;;1404;;
28;;;;;;1074;;1052;;;;;;;;;;1665;;
29;;;;;;;;1223;;;;;;;;;;1952;;
30;;;;;;;;1406;;;;;;;;;;2222;;
31;;;;;;;;1451;;;;;;;;;;2352;;
32;;;;;;;;1517;;;;;;;;;;2507;;
33;;;;;;;;2339;;;;;;;;;;3406;;
34;;;;;;;;2981;;;;;;;;;;4223;;
35;;;;;;;;3506;;;;;;;;;;4988;;
36;;;;;;;;4048;;;;;;;;;;5658;;
