Dia;Bahia;Ceará;Distrito Federal;Minas Gerais;Paraná;Rio de Janeiro;Rio Grande do Sul;São Paulo;Santa Catarina;Amazonas;Pernambuco;Espírito Santo;Goiás;Rio Grande do Norte;Maranhão;Mato Grosso do Sul;Pará;Acre;Amapá;Mato Grosso;Paraíba;Roraima;Alagoas;Piauí;Rondônia;Sergipe;Tocantins;Centro-Oeste;Nordeste;Norte;Sudeste;Sul
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
9;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
10;0;3;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;1;0;0
11;0;4;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;4;1;0;0;0;0;1;0;0
12;0;5;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;4;1;0;0;0;0;1;0;0
13;0;5;0;0;0;0;0;0;1;1;1;0;1;0;1;0;0;0;0;0;1;1;0;4;1;0;0;0;0;1;0;0
14;0;7;0;0;0;2;0;0;1;1;3;0;1;0;1;0;1;0;0;1;1;1;0;4;1;0;0;0;0;1;0;0
15;0;8;0;0;2;2;1;0;1;1;4;0;1;0;2;0;1;0;1;1;1;1;0;4;1;0;0;0;0;1;0;1
16;0;20;0;0;2;3;1;0;1;3;5;0;1;1;2;0;1;0;2;1;2;1;0;4;1;0;0;0;0;4;0;2
17;0;22;0;0;2;3;2;0;1;3;5;0;1;1;4;0;1;0;2;1;4;1;0;4;1;0;0;0;0;4;0;5
18;0;22;0;0;3;4;2;0;2;3;6;0;1;1;11;1;3;0;2;1;4;1;0;4;1;2;0;0;0;5;0;5
19;0;26;0;0;3;6;2;0;2;7;6;0;1;2;12;1;5;1;2;1;4;3;0;5;1;2;0;1;1;9;0;5
20;0;29;0;0;3;6;3;1;2;12;8;0;1;2;16;1;6;2;2;2;4;3;0;6;2;2;0;1;6;26;1;7
21;0;31;0;0;4;9;4;4;5;14;9;0;2;4;21;1;7;2;2;2;7;3;0;7;2;3;0;1;7;33;4;9
22;0;43;1;1;4;10;4;4;5;19;10;0;2;5;24;2;9;2;3;3;11;3;0;7;2;4;0;2;10;42;6;9
23;1;55;1;2;6;13;5;9;10;23;14;0;3;7;27;2;10;2;5;3;11;3;1;7;2;4;0;2;13;54;11;11
24;1;58;3;3;9;17;5;15;10;30;21;0;5;7;32;2;13;2;5;4;13;3;1;8;2;4;0;5;17;68;18;14
25;2;67;3;4;11;18;6;22;11;40;30;0;5;8;34;2;15;3;6;4;13;3;1;8;2;4;0;5;22;73;25;17
26;2;74;4;6;15;23;7;30;15;50;34;0;7;11;37;2;19;3;7;4;16;3;2;8;2;4;0;6;27;87;34;26
27;3;91;5;6;17;28;7;40;17;53;46;1;7;11;40;2;21;3;9;5;21;3;2;8;3;4;1;9;43;99;46;28
28;5;107;7;6;22;41;8;48;18;62;56;4;8;11;44;4;24;5;10;5;24;3;2;8;3;4;1;11;51;123;54;34
29;12;116;7;9;25;47;9;58;21;71;65;5;10;13;48;4;26;5;10;5;26;3;2;9;3;4;1;12;59;143;67;41
30;12;124;10;11;26;58;12;68;24;90;72;6;14;15;54;4;33;5;11;5;26;3;2;10;4;4;1;17;78;169;78;51
31;12;149;12;14;30;64;14;84;24;106;85;6;15;17;60;5;34;6;13;6;29;3;2;12;4;4;1;20;92;193;97;57
32;12;176;12;15;31;71;15;98;26;124;102;6;15;18;66;5;35;8;13;6;32;3;3;14;4;4;1;22;103;216;115;62
33;15;186;13;17;36;89;16;113;28;145;115;6;15;19;76;5;38;8;14;6;33;3;3;15;5;4;1;24;141;241;132;70
34;19;198;14;17;38;106;16;136;29;161;143;6;16;20;88;5;43;8;16;7;39;3;3;15;5;5;1;26;173;249;161;71
35;19;215;14;20;41;122;18;164;30;182;160;7;16;23;100;5;53;10;18;8;40;4;3;16;5;5;2;29;194;260;195;80
36;21;233;14;23;42;147;19;188;31;185;186;9;18;24;112;6;75;11;19;9;44;4;3;17;7;5;2;33;219;281;234;85
37;21;266;15;27;46;155;19;219;32;193;205;9;18;25;125;6;86;11;21;9;46;6;4;18;10;5;2;38;246;323;276;89
38;22;284;17;30;48;170;22;260;35;207;216;14;19;27;145;7;100;11;26;10;49;6;5;20;10;7;2;40;287;369;329;94
39;22;310;17;33;51;188;24;275;35;234;234;17;19;28;166;7;114;14;28;11;50;NA;5;21;11;8;2;40;326;415;351;101
40;27;327;20;35;51;224;24;304;37;255;260;18;21;29;NA;7;129;16;31;11;53;NA;7;24;15;8;2;46;377;452;390;104
41;30;390;20;39;57;265;27;371;39;287;282;22;23;34;NA;7;137;17;NA;NA;58;NA;7;NA;NA;9;3;46;412;490;477;113
42;36;403;24;39;60;300;27;428;42;304;312;25;24;38;NA;9;NA;NA;NA;NA;NA;NA;15;NA;NA;9;NA;52;479;543;554;113
43;37;441;24;41;64;341;27;496;42;320;352;28;25;40;NA;9;NA;NA;NA;NA;NA;NA;18;NA;NA;10;NA;52;533;589;639;121
44;45;NA;24;44;69;387;29;540;42;351;381;30;25;44;NA;9;NA;NA;NA;NA;NA;NA;19;NA;NA;11;NA;54;579;NA;711;128
45;46;NA;24;47;72;402;31;560;43;380;415;33;26;45;NA;NA;NA;NA;NA;NA;NA;NA;20;NA;NA;12;NA;55;626;NA;741;137
46;47;NA;25;51;75;422;34;588;44;NA;450;34;27;48;NA;NA;NA;NA;NA;NA;NA;NA;22;NA;NA;NA;NA;58;681;NA;787;145
