Dia;Bahia;Ceará;Distrito Federal;Minas Gerais;Paraná;Rio de Janeiro;Rio Grande do Sul;São Paulo;Santa Catarina;Amazonas;Pernambuco;Centro-Oeste;Nordeste;Norte;Sudeste;Sul
0;1;5;1;1;6;1;1;1;2;1;2;1;1;1;1;1
1;1;4;0;0;0;0;1;0;2;0;0;0;1;0;0;1
2;0;15;0;0;0;1;2;0;2;0;0;0;1;0;0;8
3;0;44;1;0;0;1;0;1;1;0;0;1;0;0;1;2
4;0;16;0;1;0;5;2;0;0;2;0;0;0;7;0;4
5;0;41;0;0;0;5;0;0;3;4;14;3;2;11;0;2
6;0;60;4;0;7;3;0;0;11;4;0;4;1;13;0;1
7;0;15;2;3;10;0;4;1;19;15;12;2;0;17;1;4
8;0;35;5;2;13;6;9;3;11;6;3;7;1;37;4;19
9;0;47;9;8;7;2;12;4;6;15;-3;14;0;0;5;33
10;1;;4;14;11;7;12;3;51;7;9;9;23;19;4;44
11;0;;58;9;16;2;18;3;1;13;5;67;5;21;5;36
12;27;;3;17;11;12;11;3;13;14;0;10;62;19;8;28
13;3;;21;28;21;21;40;11;27;;4;26;60;;16;107
14;8;;9;47;17;53;11;12;;;2;17;26;;15;0
15;8;;44;3;;0;45;14;;;8;58;63;;15;23
16;27;;0;20;;67;27;9;;;;0;110;;15;79
17;8;;39;36;;47;;71;;;;2;0;;73;71
18;20;;30;;;72;;16;;;;54;34;;26;
19;11;;;;;65;;12;;;;43;67;;16;
20;;;;;;51;;76;;;;;82;;104;
21;;;;;;72;;46;;;;;;;85;
22;;;;;;;;59;;;;;;;124;
23;;;;;;;;114;;;;;;;141;
24;;;;;;;;172;;;;;;;267;
25;;;;;;;;114;;;;;;;352;
26;;;;;;;;65;;;;;;;7;
27;;;;;;;;52;;;;;;;119;
28;;;;;;;;190;;;;;;;261;
29;;;;;;;;171;;;;;;;287;
