Dia;Ira;Italia;Coreia do Sul;Espanha;Franca;Alemanha;China;EUA;Worst;Better;Otimista;Medio;Pessimista;Confirmados MS;Confirmados Secretarias
0;;;;;;;;;;;;;;52;
1;;;;;;;;;;;;;;77;
2;;;;;;;;;;;;;;98;
3;;;;;;;;;;;;;;121;
4;;;;;;;;;;;;;;200;
5;317;281;277;233;214;267;315;207;317;207;228;272;290;234;
6;386;317;302;293;309;325;315;255;386;255;300;312;319;291;350
7;480;395;376;364;384;405;391;317;480;317;373;388;397;428;529
8;657;544;599;576;739;510;555;567;739;510;552;571;614;621;647
9;777;746;837;981;736;702;766;784;981;702;744;772;797;904;
10;1087;1111;1072;1214;970;1120;1072;1317;1317;970;1072;1099;1144;;
11;1469;1372;1244;1214;1429;1467;1234;1590;1590;1214;1241;1400;1467;;
12;1802;1713;1488;2790;1826;1597;1401;2439;2790;1401;1570;1757;1979;;
13;2031;2058;1613;3409;1826;2825;1590;3143;3409;1590;1772;2045;2904;;
14;2215;2612;1747;4159;2932;3525;1759;3537;4159;1747;2101;2772;3528;;
15;2488;3275;1892;5302;3577;4455;1917;5818;5818;1892;2345;3426;4667;;
16;2784;4072;2021;6266;3606;5590;2072;7772;7772;2021;2606;3839;5759;;
17;3117;4506;2099;7419;5316;7116;2198;10090;10090;2099;2887;4911;7192;;
18;3516;5533;2146;9580;6137;9476;2307;13220;13220;2146;3214;5835;9502;;
19;3938;5533;2156;11472;7216;11777;2404;16545;16545;2156;3555;6375;11548;;
