Dia;Irã;Itália;Coreia do Sul;Espanha;França;Alemanha;China;EUA;Brasil;Suíça;Reino Unido;Holanda;Bélgica;Austria;Noruega;Suécia;Portugal;Dinamarca;Canadá;Austrália;Malásia;Turquia;República Checa;Japão;Israel;Equador;Luxemburgo
0;18;42;73;39;19;31;;36;14;14;11;44;27;14;24;59;18;55;5;13;14;51;50;16;18;21;17
1;34;93;100;36;43;51;95;0;25;34;35;46;59;24;31;7;0;172;10;3;0;94;3;7;0;53;8
2;44;74;229;45;30;29;277;6;21;24;30;60;60;25;21;60;53;180;13;5;33;167;47;8;22;88;18
3;106;93;169;57;61;37;486;1;23;100;48;77;31;27;39;42;57;173;2;3;10;311;48;10;26;168;63
4;143;131;231;37;13;66;669;2;79;54;43;56;39;51;29;45;76;187;29;13;6;566;64;10;22;139;63
5;205;202;144;141;84;220;802;8;34;69;67;61;28;64;29;107;86;32;9;15;18;293;45;11;30;283;132
6;385;233;284;100;92;188;2632;6;57;37;48;121;47;56;195;145;117;39;76;16;12;343;98;17;32;192;149
7;523;240;505;173;276;129;578;24;137;117;62;0;0;202;198;99;0;58;5;21;20;;68;25;58;101;186
8;835;566;571;400;301;241;2054;20;193;161;75;303;245;151;104;215;337;92;54;0;0;;230;12;4;;128
9;586;342;813;622;177;136;1661;31;310;0;0;156;130;205;294;147;235;91;163;72;48;;139;11;82;;77
10;591;466;586;582;83;281;2089;68;242;487;343;176;197;158;94;61;260;109;63;50;41;;162;19;96;;224
11;1234;587;599;0;575;451;4739;45;373;220;342;278;172;314;131;81;320;112;179;47;190;;125;25;244;;
12;1076;769;851;2955;498;170;3086;140;378;841;1;295;185;314;112;87;460;83;143;80;138;;116;14;28;;
13;743;778;435;1159;0;1597;3991;116;323;0;406;347;243;367;130;89;302;94;143;75;107;;158;13;178;;
14;595;1247;467;1407;1388;910;3733;65;;500;409;409;309;375;87;160;;58;335;116;117;;;15;188;;
15;881;1492;505;2144;809;1210;3147;376;;328;682;536;462;426;196;200;;146;191;113;110;;;18;371;;
16;958;1797;448;1806;36;1477;3523;322;;1047;74;637;558;768;168;124;;;619;110;130;;;19;488;;
17;1075;977;273;2162;2145;1985;2704;382;;1219;1298;577;586;892;204;171;;;702;280;153;;;38;;;
18;1289;2313;164;4053;1031;3070;3015;516;;1281;1053;547;342;809;267;112;;;;478;123;;;29;;;
19;1365;0;35;3547;1353;2993;2525;548;;899;678;816;526;;236;240;;;;133;212;;;60;;;
20;1209;5198;242;3986;1895;4528;2032;772;;1321;981;;;;242;;;;;362;106;;;41;;;
21;1053;3497;114;3272;1665;2516;373;1133;;1082;1438;;;;;;;;;;;;;41;;;
22;1178;3590;110;6368;1847;2509;15136;1789;;;;;;;;;;;;;;;;9;;;
23;1192;3233;107;4749;1784;4183;6463;1365;;;;;;;;;;;;;;;;70;;;
24;1046;3526;76;;3880;3930;2055;5891;;;;;;;;;;;;;;;;58;;;
25;1237;4207;74;;2499;;2100;5706;;;;;;;;;;;;;;;;0;;;
26;966;5322;84;;;;1921;4824;;;;;;;;;;;;;;;;62;;;
27;1028;5986;93;;;;1777;9069;;;;;;;;;;;;;;;;72;;;
28;1411;6557;152;;;;408;10571;;;;;;;;;;;;;;;;66;;;
29;1762;5560;87;;;;458;9893;;;;;;;;;;;;;;;;-14;;;
30;;4789;147;;;;473;;;;;;;;;;;;;;;;;53;;;
31;;5249;98;;;;1451;;;;;;;;;;;;;;;;;11;;;
32;;;64;;;;21;;;;;;;;;;;;;;;;;35;;;
33;;;76;;;;219;;;;;;;;;;;;;;;;;39;;;
34;;;;;;;513;;;;;;;;;;;;;;;;;44;;;
35;;;;;;;412;;;;;;;;;;;;;;;;;94;;;
36;;;;;;;434;;;;;;;;;;;;;;;;;27;;;
37;;;;;;;328;;;;;;;;;;;;;;;;;65;;;
38;;;;;;;428;;;;;;;;;;;;;;;;;;;;
39;;;;;;;576;;;;;;;;;;;;;;;;;;;;
40;;;;;;;204;;;;;;;;;;;;;;;;;;;;
41;;;;;;;125;;;;;;;;;;;;;;;;;;;;
42;;;;;;;125;;;;;;;;;;;;;;;;;;;;
43;;;;;;;151;;;;;;;;;;;;;;;;;;;;
44;;;;;;;153;;;;;;;;;;;;;;;;;;;;
45;;;;;;;80;;;;;;;;;;;;;;;;;;;;
46;;;;;;;53;;;;;;;;;;;;;;;;;;;;
47;;;;;;;37;;;;;;;;;;;;;;;;;;;;
48;;;;;;;27;;;;;;;;;;;;;;;;;;;;
49;;;;;;;34;;;;;;;;;;;;;;;;;;;;
50;;;;;;;11;;;;;;;;;;;;;;;;;;;;
51;;;;;;;13;;;;;;;;;;;;;;;;;;;;
52;;;;;;;32;;;;;;;;;;;;;;;;;;;;
53;;;;;;;26;;;;;;;;;;;;;;;;;;;;
54;;;;;;;30;;;;;;;;;;;;;;;;;;;;
55;;;;;;;25;;;;;;;;;;;;;;;;;;;;
56;;;;;;;44;;;;;;;;;;;;;;;;;;;;
57;;;;;;;54;;;;;;;;;;;;;;;;;;;;
58;;;;;;;94;;;;;;;;;;;;;;;;;;;;
59;;;;;;;55;;;;;;;;;;;;;;;;;;;;
60;;;;;;;92;;;;;;;;;;;;;;;;;;;;
61;;;;;;;101;;;;;;;;;;;;;;;;;;;;
62;;;;;;;93;;;;;;;;;;;;;;;;;;;;
