Dia;Irã;Itália;Coreia do Sul;Espanha;França;Alemanha;China;EUA;Brasil;Suíça;Reino Unido;Holanda;Bélgica;Austria;Noruega;Suécia;Portugal;Dinamarca;Canadá;Austrália;Malásia;Turquia;República Checa;Japão;Israel;Equador;Luxemburgo;Irlanda;Chile;Paquistão;Polônia;Tailândia;Romênia;Arábia Saudita;Russia;Filipinas;Indonésia;África do Sul;Finlândia;Grécia;India;Islândia
0;18;42;73;39;19;31;;36;14;14;11;44;27;14;24;59;18;55;5;13;14;51;50;16;18;21;17;47;18;22;19;2;40;41;14;3;52;13;19;27;13;7
1;34;93;100;36;43;51;95;0;25;34;35;46;59;24;31;7;0;172;10;3;0;94;3;7;0;53;8;39;13;83;35;0;34;17;4;12;17;11;0;0;6;0
2;44;74;229;45;30;29;277;6;21;24;30;60;60;25;21;60;53;180;13;5;33;167;47;8;22;88;18;0;81;100;16;0;8;0;27;47;0;0;96;16;11;8
3;106;93;169;57;61;37;486;1;23;100;48;77;31;27;39;42;57;173;2;3;10;311;48;10;26;168;63;40;46;63;58;3;27;15;24;29;15;54;70;10;9;11
4;143;131;231;37;13;66;669;2;79;54;43;56;39;51;29;45;76;187;29;13;6;566;64;10;22;139;63;54;37;155;61;6;26;53;33;2;53;34;19;0;20;16
5;205;202;144;141;84;220;802;8;34;69;67;61;28;64;29;107;86;32;9;15;18;293;45;11;30;283;132;69;0;47;13;11;76;0;52;45;0;52;33;91;11;18
6;385;233;284;100;92;188;2632;6;57;37;48;121;47;56;195;145;117;39;76;16;12;343;98;17;32;192;149;265;196;229;104;5;17;103;54;15;103;38;44;38;6;31
7;523;240;505;173;276;129;578;24;137;117;62;0;0;202;198;99;0;58;5;21;20;561;68;25;58;101;186;126;103;46;70;7;31;70;53;15;70;34;15;103;23;22
8;835;566;571;400;301;241;2054;20;193;161;75;303;245;151;104;215;337;92;54;0;0;1196;230;12;4;91;128;102;95;99;111;32;59;48;61;13;48;128;64;0;14;15
9;586;342;813;622;177;136;1661;31;310;0;0;156;130;205;294;147;235;91;163;72;48;2069;139;11;82;230;77;121;114;97;98;33;66;119;71;77;119;152;50;56;38;9
10;591;466;586;582;83;281;2089;68;242;487;343;176;197;158;94;61;260;109;63;50;41;1704;162;19;96;192;224;219;176;91;115;30;143;51;57;73;51;155;73;31;50;40
11;1234;587;599;0;575;451;4739;45;392;220;342;278;172;314;131;81;320;112;179;47;190;1815;125;25;244;228;74;204;220;138;152;35;218;205;163;82;205;218;103;0;86;30
12;1076;769;851;2955;498;170;3086;140;354;841;1;295;185;314;112;87;460;83;143;80;138;1610;116;14;28;101;280;235;164;172;150;60;112;133;182;90;133;243;74;77;66;80
13;743;778;435;1159;0;1597;3991;116;317;0;406;347;243;367;130;89;302;94;143;75;107;2704;158;13;178;38;152;255;304;122;170;50;123;112;196;84;112;17;92;35;103;79
14;595;1247;467;1407;1388;910;3733;65;197;500;409;409;309;375;87;160;633;58;335;116;117;2148;260;15;188;278;226;302;299;102;168;89;263;92;228;71;92;93;88;94;37;64
15;881;1492;505;2144;809;1210;3147;376;482;328;682;536;462;426;196;200;549;146;191;113;110;2456;271;18;371;508;119;294;230;120;249;188;160;99;270;96;99;46;78;71;121;95
16;958;1797;448;1806;36;1477;3523;322;502;1047;74;637;558;768;168;124;724;144;619;110;130;2786;354;19;488;415;38;200;310;221;224;122;363;96;302;272;96;27;83;48;70;20
17;1075;977;273;2162;2145;1985;2704;382;487;1219;1298;577;586;892;204;171;902;161;702;280;153;;352;38;439;205;190;295;289;180;193;106;294;154;501;343;115;27;126;78;160;60
18;1289;2313;164;4053;1031;3070;3015;516;352;1281;1053;547;342;809;267;112;792;177;461;478;123;;186;29;324;;141;325;293;363;256;107;136;110;440;128;114;82;73;71;100;89
19;1365;0;35;3547;1353;2993;2525;548;323;899;678;816;526;305;236;240;446;166;791;133;212;;184;60;342;;168;212;373;205;243;111;215;157;771;538;149;43;112;74;37;65
20;1209;5198;242;3986;1895;4528;2032;772;1138;1321;981;858;668;1321;242;240;1035;198;640;362;106;;307;41;584;;125;402;333;;392;91;278;165;601;227;113;;66;95;227;88
21;1053;3497;114;3272;1665;2516;373;1133;1119;1082;1438;1030;1298;748;221;314;808;191;894;320;172;;200;41;628;;;424;;;437;109;445;154;;322;196;;28;95;0;73
22;1178;3590;110;6368;1847;2509;15136;1789;1074;1020;1476;1179;1049;614;285;229;783;284;704;446;235;;350;9;448;;;;;;;143;;;;385;;;72;56;747;57
23;1192;3233;107;4749;1784;4183;6463;1365;1146;914;2172;1172;1850;517;386;378;852;251;1118;333;130;;233;70;663;;;;;;;136;;;;;;;97;102;545;66
24;1046;3526;76;9630;3880;3930;2055;5891;;1117;2933;1111;1702;830;260;253;;283;1129;497;159;;;58;734;;;;;;;127;;;;;;;;101;24;49
