Dia;Ira;Italia;Coreia do Sul;Espanha;Franca;Alemanha;China;EUA;Worst;Better;Otimista;Medio;Pessimista;Confirmados MS;Confirmados Secretarias
0;61;62;104;84;57;79;104;51;;;;;;52;
1;95;155;204;120;100;130;199;51;;;;;;77;
2;139;229;433;165;130;159;371;57;;;;;;98;
3;245;322;602;222;191;196;645;58;;;;;;121;
4;388;453;833;259;204;262;1017;60;;;;;;200;
5;593;655;977;400;288;482;1454;68;317;207;228;272;290;234;
6;978;888;1261;500;380;670;1955;74;386;255;300;312;319;291;350
7;1501;1128;1766;673;656;799;2533;98;480;317;373;388;397;428;529
8;2336;1694;2337;1073;957;1040;3238;118;739;510;552;571;614;621;647
9;2922;2036;3150;1695;1134;1176;3996;149;981;702;744;772;797;904;
10;3513;2502;3736;2277;1217;1457;4738;217;1317;970;1072;1099;1144;;
11;4747;3089;4335;2277;1792;1908;5453;262;1590;1214;1241;1400;1467;;
12;5823;3858;5186;5232;2290;2078;6194;402;2790;1401;1570;1757;1979;;
13;6566;4636;5621;6391;2290;3675;7029;518;3409;1590;1772;2045;2904;;
14;7161;5883;6088;7798;3678;4585;7775;583;4159;1747;2101;2772;3528;;
15;8042;7375;6593;9942;4487;5795;8475;959;5818;1892;2345;3426;4667;;
16;9000;9172;7041;11748;4523;7272;9157;1281;7772;2021;2606;3839;5759;;
17;10075;10149;7314;13910;6668;9257;9714;1663;10090;2099;2887;4911;7192;;
18;11364;12462;7478;17963;7699;12327;10198;2179;13220;2146;3214;5835;9502;;
19;12729;12462;7513;21510;9052;15320;10626;2727;16545;2156;3555;6375;11548;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
