Dia;Ira;Italia;Coreia do Sul;Espanha;Franca;Alemanha;China;EUA;Brasil;Melhor Caso;Pior Caso
0;61;62;104;84;57;79;104;51;52;51;104
1;95;155;204;120;100;130;199;51;77;51;204
2;139;229;433;165;130;159;371;57;98;57;433
3;245;322;602;222;191;196;645;58;121;58;645
4;388;453;833;259;204;262;1017;60;200;60;1017
5;593;655;977;400;288;482;1454;68;234;68;1454
6;978;888;1261;500;380;670;1955;74;291;74;1955
7;1501;1128;1766;673;656;799;2533;98;428;98;2533
8;2336;1694;2337;1073;957;1040;3238;118;621;118;3238
9;2922;2036;3150;1695;1134;1176;3996;149;904;149;3996
10;3513;2502;3736;2277;1217;1457;4738;217;;217;4738
11;4747;3089;4335;2277;1792;1908;5453;262;;262;5453
12;5823;3858;5186;5232;2290;2078;6194;402;;402;6194
13;6566;4636;5621;6391;2290;3675;7029;518;;518;7029
14;7161;5883;6088;7798;3678;4585;7775;583;;583;7798
15;8042;7375;6593;9942;4487;5795;8475;959;;959;9942
16;9000;9172;7041;11748;4523;7272;9157;1281;;1281;11748
17;10075;10149;7314;13910;6668;9257;9714;1663;;1663;13910
18;11364;12462;7478;17963;7699;12327;10198;2179;;2179;17963
19;12729;12462;7513;21510;9052;15320;10626;2727;;2727;21510
