Dia;Ira;Italia;Coreia do Sul;Espanha;Franca;Alemanha;China;EUA;Brasil
0;61;62;104;84;57;79;104;51;52
1;95;155;204;120;100;130;199;51;77
2;139;229;433;165;130;159;371;57;98
3;245;322;602;222;191;196;645;58;121
4;388;453;833;259;204;262;1017;60;200
5;593;655;977;400;288;482;1454;68;234
6;978;888;1261;500;380;670;1955;74;291
7;1501;1128;1766;673;656;799;2533;98;428
8;2336;1694;2337;1073;957;1040;3238;118;621
9;2922;2036;3150;1695;1134;1176;3996;149;904
10;3513;2502;3736;2277;1217;1457;4738;217;
11;4747;3089;4335;2277;1792;1908;5453;262;
12;5823;3858;5186;5232;2290;2078;6194;402;
13;6566;4636;5621;6391;2290;3675;7029;518;
14;7161;5883;6088;7798;3678;4585;7775;583;
15;8042;7375;6593;9942;4487;5795;8475;959;
16;9000;9172;7041;11748;4523;7272;9157;1281;
17;10075;10149;7314;13910;6668;9257;9714;1663;
18;11364;12462;7478;17963;7699;12327;10198;2179;
19;12729;12462;7513;21510;9052;15320;10626;2727;
20;13938;17660;7755;;10947;;11020;3499;
21;14991;21157;7869;;;;11393;4632;
22;16169;24747;7979;;;;11689;6421;
23;17361;27980;8086;;;;11952;7786;
24;18407;31506;8162;;;;12164;13677;
25;;35713;8236;;;;12331;;
26;;41035;8320;;;;12445;;
27;;;8413;;;;12529;;
28;;;8565;;;;12588;;
29;;;;;;;12635;;
30;;;;;;;12888;;
31;;;;;;;12917;;
32;;;;;;;12938;;
33;;;;;;;12954;;
34;;;;;;;12968;;
35;;;;;;;12979;;
36;;;;;;;13004;;
37;;;;;;;13014;;
38;;;;;;;13019;;
39;;;;;;;13025;;
40;;;;;;;13033;;
41;;;;;;;13044;;
42;;;;;;;13054;;
43;;;;;;;13071;;
44;;;;;;;13098;;
45;;;;;;;13104;;
46;;;;;;;13116;;
47;;;;;;;13117;;
48;;;;;;;13127;;
49;;;;;;;13148;;
50;;;;;;;13151;;
51;;;;;;;13159;;
52;;;;;;;13187;;
53;;;;;;;13209;;
54;;;;;;;13235;;
55;;;;;;;13259;;
56;;;;;;;13302;;
57;;;;;;;13356;;
