Dia;Irã;Itália;Coreia do Sul;Espanha;França;Alemanha;China;EUA;Brasil
0;18;42;73;39;19;31;;;14
1;34;93;100;36;43;51;95;;25
2;44;74;229;45;30;29;172;6;21
3;106;93;169;57;61;37;274;1;23
4;143;131;231;37;13;66;372;2;79
5;205;202;144;141;84;220;437;8;34
6;385;233;284;100;92;188;501;6;57
7;523;240;505;173;276;129;578;24;137
8;835;566;571;400;301;241;705;20;193
9;586;342;813;622;177;136;758;31;310
10;591;466;586;582;83;281;742;68;242
11;1234;587;599;0;575;451;715;45;390
12;1076;769;851;2955;498;170;741;140;
13;743;778;435;1159;0;1597;835;116;
14;595;1247;467;1407;1388;910;746;65;
15;881;1492;505;2144;809;1210;700;376;
16;958;1797;448;1806;36;1477;682;322;
17;1075;977;273;2162;2145;1985;557;382;
18;1289;2313;164;4053;1031;3070;484;516;
19;1365;0;35;3547;1353;2993;428;548;
20;1209;5198;242;3986;1895;4528;394;772;
21;1053;3497;114;3272;1665;2516;373;1133;
22;1178;3590;110;;1847;2509;296;1789;
23;1192;3233;107;;1717;;263;1365;
24;1046;3526;76;;;;212;5891;
25;1237;4207;74;;;;167;5594;
26;966;5322;84;;;;114;4824;
27;1028;5986;93;;;;84;9065;
28;;6557;152;;;;59;;
29;;5560;87;;;;47;;
30;;;147;;;;253;;
31;;;98;;;;29;;
32;;;;;;;21;;
33;;;;;;;16;;
34;;;;;;;14;;
35;;;;;;;11;;
36;;;;;;;25;;
37;;;;;;;10;;
38;;;;;;;5;;
39;;;;;;;6;;
40;;;;;;;8;;
41;;;;;;;11;;
42;;;;;;;10;;
43;;;;;;;17;;
44;;;;;;;27;;
45;;;;;;;6;;
46;;;;;;;12;;
47;;;;;;;1;;
48;;;;;;;10;;
49;;;;;;;21;;
50;;;;;;;3;;
51;;;;;;;8;;
52;;;;;;;28;;
53;;;;;;;22;;
54;;;;;;;26;;
55;;;;;;;24;;
56;;;;;;;43;;
57;;;;;;;54;;
58;;;;;;;94;;
59;;;;;;;55;;
60;;;;;;;92;;
