Dia;Irã;Itália;Coreia do Sul;Espanha;França;Alemanha;China;EUA;Brasil;Suíça;Reino Unido;Holanda;Bélgica;Austria;Noruega;Suécia;Portugal;Dinamarca;Canadá;Austrália;Malásia;Turquia;República Checa;Japão;Israel;Equador;Luxemburgo;Irlanda;Chile;Paquistão;Polônia;Tailândia;Romênia;Arábia Saudita;Russia;Filipinas;Indonésia;África do Sul;Finlândia;Grécia;India;Islândia
0;12;2;1;0;2;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;2;1;1;0;0;2;1;0;0;0;5;4;0;0;0;0;0
1;16;3;2;0;2;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;2;1;2;0;0;3;1;0;0;0;8;5;0;0;0;1;0
2;19;7;2;1;2;0;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0;3;1;2;0;0;3;1;0;0;0;11;5;0;0;0;1;0
3;26;10;6;2;3;0;42;0;0;0;1;0;0;0;0;0;0;0;1;2;0;4;0;1;0;5;1;2;0;0;4;1;0;0;0;12;5;0;0;1;2;0
4;34;12;8;3;4;0;56;0;0;0;2;0;0;0;0;0;0;0;1;2;0;9;0;1;0;7;2;2;0;2;5;1;0;0;0;12;5;0;0;1;2;0
5;43;17;10;5;4;0;82;0;0;1;2;1;0;0;0;0;0;1;1;2;0;30;0;1;0;14;4;2;0;3;5;1;0;0;1;19;19;0;0;1;2;0
6;54;21;12;10;6;0;131;1;1;1;3;1;0;0;0;1;1;2;1;2;0;37;0;1;0;18;4;3;0;3;5;1;0;0;1;17;25;0;0;3;2;0
7;66;29;13;17;9;0;133;1;3;1;4;3;0;0;0;1;2;3;1;3;0;44;0;1;0;27;8;3;0;5;5;1;0;0;1;18;32;0;0;4;3;0
8;77;34;13;28;11;0;171;6;6;2;6;3;3;1;0;1;3;4;1;3;0;59;0;1;0;28;8;3;1;6;5;1;0;0;1;19;38;0;0;4;3;0
9;92;52;16;35;19;2;213;7;11;2;8;4;3;1;0;2;6;4;1;3;0;75;0;1;0;34;8;4;2;7;7;1;3;0;1;25;48;0;0;5;4;0
10;107;79;17;54;19;2;259;11;15;3;8;5;3;1;0;3;12;6;4;3;0;92;0;2;0;36;8;6;2;8;8;1;7;0;1;33;49;0;1;5;4;1
11;124;107;28;55;33;3;361;12;25;4;8;5;4;1;0;6;14;9;5;3;0;108;1;4;0;48;8;7;3;9;10;1;11;1;3;35;55;0;1;6;4;1
12;145;148;28;133;48;3;425;14;34;4;21;10;4;3;0;7;23;13;8;3;0;131;1;4;0;58;9;9;4;11;14;1;17;2;3;38;58;1;1;6;7;1
13;194;197;35;195;48;7;491;17;46;11;21;12;5;3;0;10;33;13;9;3;2;;3;5;1;;15;19;5;12;16;1;23;3;4;45;78;1;1;13;10;1
14;237;233;35;289;79;9;563;21;59;13;56;20;10;4;0;11;43;24;12;3;2;;6;6;1;;18;22;6;14;16;1;26;3;4;54;87;2;3;15;10;1
15;291;366;42;342;91;11;633;22;77;14;56;24;14;6;3;16;60;32;19;3;2;;9;6;1;;21;36;7;;18;1;37;4;8;68;102;;5;17;12;1
16;354;463;44;533;91;17;718;28;92;14;72;43;21;6;3;20;76;34;21;5;3;;9;6;3;;;46;;;22;1;43;8;;71;114;;7;20;20;1
17;429;631;50;623;149;24;805;36;111;27;138;58;37;8;3;21;100;41;25;6;4;;11;6;5;;;;;;;4;;;;;;;9;22;20;2
18;514;827;53;830;149;28;905;40;136;28;178;77;67;16;3;25;119;52;26;6;10;;16;6;8;;;;;;;4;;;;;;;11;26;24;2
19;611;827;54;1043;149;44;1012;47;;41;234;107;75;21;6;36;;65;30;7;14;;;6;12;;;;;;;4;;;;;;;;28;27;2
20;724;1266;60;1375;244;67;1112;54;;54;282;137;88;28;7;62;;72;38;7;16;;;6;12;;;;;;;5;;;;;;;;32;;2
21;853;1441;66;1772;451;84;1117;63;;75;336;180;122;30;7;77;;;54;7;20;;;6;15;;;;;;;6;;;;;;;;38;;2
22;988;1809;66;2311;563;94;1369;85;;98;423;214;178;49;7;105;;;61;7;23;;;10;;;;;;;;7;;;;;;;;;;2
23;1135;2158;72;2808;676;123;1521;108;;120;466;277;220;58;7;105;;;64;8;26;;;10;;;;;;;;;;;;;;;;;;
24;1284;2503;75;3647;862;157;1663;118;;122;580;357;289;68;10;110;;;;8;27;;;15;;;;;;;;;;;;;;;;;;
25;1433;2978;75;4365;1102;206;1766;200;;153;761;435;353;86;12;;;;;13;35;;;16;;;;;;;;;;;;;;;;;;
26;1556;3405;81;5138;1333;267;1864;244;;191;1021;547;431;;14;;;;;13;;;;19;;;;;;;;;;;;;;;;;;
27;1685;4032;84;5982;1698;342;2003;307;;231;1231;640;;;14;;;;;14;;;;22;;;;;;;;;;;;;;;;;;
28;1812;4825;91;6803;1997;433;2116;417;;264;;772;;;19;;;;;16;;;;22;;;;;;;;;;;;;;;;;;
29;1934;5476;94;;2317;533;2238;557;;300;;;;;23;;;;;;;;;27;;;;;;;;;;;;;;;;;;
30;2077;6077;102;;2611;;2238;706;;;;;;;25;;;;;;;;;29;;;;;;;;;;;;;;;;;;
31;2234;6820;111;;;;2443;942;;;;;;;;;;;;;;;;29;;;;;;;;;;;;;;;;;;
32;2378;7503;111;;;;2445;1209;;;;;;;;;;;;;;;;29;;;;;;;;;;;;;;;;;;
33;2517;8215;120;;;;2595;1581;;;;;;;;;;;;;;;;33;;;;;;;;;;;;;;;;;;
34;2640;9134;126;;;;2665;2026;;;;;;;;;;;;;;;;35;;;;;;;;;;;;;;;;;;
35;;10023;131;;;;2717;2467;;;;;;;;;;;;;;;;41;;;;;;;;;;;;;;;;;;
36;;10779;139;;;;2746;;;;;;;;;;;;;;;;;42;;;;;;;;;;;;;;;;;;
37;;;144;;;;2790;;;;;;;;;;;;;;;;;43;;;;;;;;;;;;;;;;;;
38;;;152;;;;2837;;;;;;;;;;;;;;;;;45;;;;;;;;;;;;;;;;;;
39;;;;;;;2872;;;;;;;;;;;;;;;;;47;;;;;;;;;;;;;;;;;;
