Dia;Irã;Itália;Coreia do Sul;Espanha;França;Alemanha;China;EUA;Suíça;Reino Unido
0;52;52;52;52;52;52;52;52;52;52
1;151;151;151;151;151;151;151;151;151;151
2;151;151;151;151;151;151;151;151;151;151
3;162;162;162;162;162;162;162;162;162;162
4;200;200;200;200;200;200;200;200;200;200
5;321;321;321;321;321;321;321;321;321;321
6;372;372;372;372;372;372;372;372;372;372
7;621;621;621;621;621;621;621;621;621;621
8;793;793;793;793;793;793;793;793;793;793
9;1021;1021;1021;1021;1021;1021;1021;1021;1021;1021
10;1546;1546;1546;1546;1546;1546;1546;1546;1546;1546
11;1924;1924;1924;1924;1924;1924;1924;1924;1924;1924
12;2247;2247;2247;2247;2247;2247;2247;2247;2247;2247
13;2554;2554;2554;2554;2554;2554;2554;2554;2554;2554
14;2985;2985;2985;2985;2985;2985;2985;2985;2985;2985
15;3417;3417;3417;3417;3417;3417;3417;3417;3417;3417
16;3904;3904;3904;3904;3904;3904;3904;3904;3904;3904
17;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256
18;4579;4579;4579;4579;4579;4579;4579;4579;4579;4579
19;5717;5717;5717;5717;5717;5717;5717;5717;5717;5717
20;6836;6836;6836;6836;6836;6836;6836;6836;6836;6836
21;8044;8044;8044;8044;8044;8044;8044;8044;8044;8044
22;9056;9056;9056;9056;9056;9056;9056;9056;9056;9056
23;10360;10360;10360;10360;10360;10360;10360;10360;10360;10360
24;11130;11130;11130;11130;11130;11130;11130;11130;11130;11130
25;12161;12161;12161;12161;12161;12161;12161;12161;12161;12161
26;14034;14034;14034;14034;14034;14034;14034;14034;14034;14034
27;16170;16170;16170;16170;16170;16170;16170;16170;16170;16170
28;18092;18092;18092;18092;18092;18092;18092;18092;18092;18092
29;19638;19638;19638;19638;19638;19638;19638;19638;19638;19638
30;20727;20727;20727;20727;20727;20727;20727;20727;20727;20727
31;22192;22192;22192;22192;22192;22192;22192;22192;22192;22192
32;23430;23430;23430;23430;23430;23430;23430;23430;23430;23430
33;25262;25262;25262;25262;25262;25262;25262;25262;25262;25262
34;28320;28320;28320;28320;28320;28320;28320;28320;28320;28320
35;30425;30425;30425;30425;30425;30425;30425;30425;30425;30425
36;33682;33682;33682;33682;33682;33682;33682;33682;33682;33682
37;36658;36658;36658;36658;36658;36658;36658;36658;36658;36658
38;38654;38654;38654;38654;38654;38654;38654;38654;38654;38654
39;40743;40743;40743;40743;40743;40743;40743;40743;40743;40743
40;43079;43079;43079;43079;43079;43079;43079;43079;43079;43079
41;45757;45757;45757;45757;45757;45757;45757;45757;45757;45757
42;50036;50036;50036;50036;50036;50036;50036;50036;50036;50036
43;54043;54043;54043;54043;54043;54043;54043;54043;54043;54043
44;59324;59324;59324;59324;59324;59324;59324;59324;59324;59324
45;63100;63100;63100;63100;63100;63100;63100;63100;63100;63100
46;67446;67446;67446;67446;67446;67446;67446;67446;67446;67446
47;73235;73235;73235;73235;73235;73235;73235;73235;73235;73235
48;79685;79685;79685;79685;79685;79685;79685;79685;79685;79685
49;87187;87187;87187;87187;87187;87187;87187;87187;87187;87187
50;92202;92202;92202;92202;92202;92202;92202;92202;92202;92202
51;97100;97100;97100;97100;97100;97100;97100;97100;97100;97100
52;101826;101826;101826;101826;101826;101826;101826;101826;101826;101826
53;103783;103497;102068;104091;103644;103444;101859;106724;102597;105296
54;105577;105870;102330;107384;103644;105148;101896;111680;103190;108441
55;107330;108059;102591;109336;103733;106432;101928;115739;103555;111476
56;109020;110247;102804;110739;104813;107472;101983;119631;103910;114294
57;110713;112156;103017;112103;105922;108335;102051;123832;104418;117174
58;112272;113570;103192;113426;106300;109013;102169;128176;105054;121426
59;113616;115280;103269;115757;108752;109806;102238;132572;105476;125794
60;115141;117392;103395;104292;110777;110923;102402;138092;105874;129183
61;116622;119050;103482;104292;109132;111932;102481;143094;106186;132240
62;118127;120943;103589;105829;109628;112666;102598;147309;;
63;119421;122420;103725;106261;109632;113277;102686;150727;;
64;120873;123877;103821;;110427;113755;102838;154446;;
65;122273;124966;103918;;110693;;102983;158615;;
66;123557;126277;104015;;;;103111;163116;;
67;124870;127584;104151;;;;103266;168308;;
68;125917;128757;104238;;;;103361;172743;;
69;127191;129988;104277;;;;103463;176633;;
70;;131179;104364;;;;103566;;;
71;;132050;104422;;;;103656;;;
72;;;104548;;;;103755;;;
73;;;104625;;;;103795;;;
74;;;;;;;103869;;;
75;;;;;;;103949;;;
76;;;;;;;104015;;;
77;;;;;;;104130;;;
78;;;;;;;104223;;;
79;;;;;;;104296;;;
80;;;;;;;104387;;;
81;;;;;;;104538;;;
82;;;;;;;104638;;;
83;;;;;;;104755;;;
84;;;;;;;104818;;;
85;;;;;;;104877;;;
86;;;;;;;105326;;;
87;;;;;;;105359;;;
88;;;;;;;105382;;;
89;;;;;;;105397;;;
90;;;;;;;105442;;;
91;;;;;;;105461;;;
92;;;;;;;105481;;;
93;;;;;;;105500;;;
94;;;;;;;105513;;;
95;;;;;;;105517;;;
96;;;;;;;105524;;;
97;;;;;;;105552;;;
98;;;;;;;105557;;;
99;;;;;;;105572;;;
100;;;;;;;105576;;;
101;;;;;;;105576;;;
102;;;;;;;105582;;;
