Dia;Pior caso;Pessimista;Médio;Otimista;Melhor caso;Realizado
0;;;;;;52
1;;;;;;77
2;;;;;;98
3;;;;;;121
4;;;;;;200
5;317;228;272;290;207;234
6;492;319;384;459;234;291
7;798;414;501;626;255;428
8;1225;601;694;793;338;621
9;1907;919;1003;1054;407;931
10;1317;1072;1099;1144;970;1173
11;1590;1241;1400;1467;1214;1565
12;2790;1570;1757;1979;1401;1919
13;3409;1772;2045;2904;1590;2236
14;4159;2101;2772;3528;1747;2433
15;5818;2345;3426;4667;1892;2915
16;7772;2606;3839;5759;2021;3417
17;10090;2887;4911;7192;2099;3904
18;13220;3214;5835;9502;2146;4256
19;16545;3555;6375;11548;2156;4579
20;21229;4257;8284;14013;2226;5717
21;28103;4510;9724;15805;2258;6836
22;38957;5393;11257;18834;2290;7910
23;9516;8956;9073;9264;8650;9056
24;11770;10158;10583;10992;9422;10278
25;14255;11485;12249;13175;10286;11130
26;16512;12993;14046;15201;11018;12056
27;19278;14670;16025;17425;11718;13717
28;22092;16310;18247;19910;12402;15927
29;25483;17913;20317;22539;13102;17857
30;29513;19357;22213;24838;13951;19638
31;32138;20905;24096;27030;15003;20727
32;36624;22556;26022;29613;16184;22169
33;41434;24428;28277;32841;17468;
34;44680;26106;30311;35308;18611;
35;47861;27965;32469;37822;19936;
36;50864;29719;34506;40195;21187;
37;53353;31174;36195;42162;22224;
38;55522;32441;37666;43875;23127;
39;57883;33820;39267;45741;24111;
40;60413;35298;40984;47740;25164;
