Dia;Pior caso;Otimista;Médio;Pessimista;Melhor caso;Realizado
0;;;;;;52
1;;;;;;151
2;;;;;;151
3;;;;;;162
4;;;;;;200
5;;228;272;290;;321
6;;319;384;459;;372
7;;414;501;626;;621
8;;601;694;793;;793
9;;919;1003;1054;;1021
10;;1072;1099;1144;;1546
11;;1241;1400;1467;;1924
12;;1570;1757;1979;;2247
13;;1772;2045;2904;;2554
14;;2101;2772;3528;;2985
15;;2345;3426;4667;;3417
16;;2606;3839;5759;;3904
17;;2887;4911;7192;;4256
18;;3214;5835;9502;;4579
19;;3555;6375;11548;;5717
20;;4257;8284;14013;;6836
21;;4510;9724;15805;;8044
22;;5393;11257;18834;;9056
23;;8956;9073;9264;;10360
24;;10158;10583;10992;;11130
25;;11485;12249;13175;;12161
26;;12993;14046;15201;;14034
27;;14670;16025;17425;;16170
28;;16310;18247;19910;;18092
29;;17913;20317;22539;;19638
30;;19357;22213;24838;;20727
31;;20905;24096;27030;;22192
32;;22556;26022;29613;;23430
33;;24428;28277;32841;;25262
34;;26106;30311;35308;;28320
35;;26911;27138;27225;;30425
36;;28057;28442;29045;;33682
37;;29110;29553;30626;;36658
38;;30213;30734;31913;;38654
39;;31417;32040;33491;;40743
40;;32547;33441;35116;;43079
41;;33628;34726;36504;;45757
42;;34537;35702;37979;;50036
43;;35292;36522;39382;;54043
44;;38922;37270;40590;;59324
45;;;;;;63100
